,Player,Tm,Short FGA,Short FGM,Reg FGA,Reg FGM,Med FGA,Med FGM,Long FGA,Long FGM,Deep FGA,Deep FGM,XPA,XPM,Year,Pos
0,David Akers,SFO,1.0,1.0,9.0,8.0,13.0,11.0,13.0,7.0,6.0,2.0,44.0,44.0,2012,K
1,Lawrence Tynes,NYG,,,11.0,11.0,16.0,14.0,9.0,7.0,3.0,1.0,46.0,46.0,2012,K
2,Shayne Graham,HOU,1.0,1.0,8.0,8.0,11.0,11.0,9.0,7.0,9.0,4.0,45.0,45.0,2012,K
3,Matt Bryant,ATL,1.0,1.0,9.0,8.0,11.0,10.0,13.0,10.0,4.0,4.0,44.0,44.0,2012,K
4,Blair Walsh,MIN,,,10.0,10.0,9.0,8.0,9.0,7.0,10.0,10.0,36.0,36.0,2012,K
5,Jason Hanson,DET,1.0,1.0,3.0,3.0,10.0,10.0,19.0,16.0,3.0,2.0,38.0,38.0,2012,K
6,Stephen Gostkowski,NWE,,,8.0,8.0,12.0,10.0,13.0,9.0,2.0,2.0,66.0,66.0,2012,K
7,Sebastian Janikowski,OAK,1.0,1.0,9.0,9.0,10.0,10.0,5.0,5.0,9.0,6.0,25.0,25.0,2012,K
8,Ryan Succop,KAN,,,5.0,4.0,15.0,12.0,12.0,10.0,2.0,2.0,17.0,17.0,2012,K
9,Mason Crosby,GNB,,,5.0,5.0,7.0,5.0,12.0,9.0,9.0,2.0,50.0,50.0,2012,K
10,Justin Tucker,BAL,,,8.0,8.0,8.0,8.0,13.0,10.0,4.0,4.0,42.0,42.0,2012,K
11,Connor Barth,TAM,,,7.0,7.0,4.0,3.0,13.0,12.0,9.0,6.0,39.0,39.0,2012,K
12,Adam Vinatieri,IND,1.0,1.0,8.0,8.0,7.0,4.0,10.0,9.0,7.0,4.0,37.0,37.0,2012,K
13,Matt Prater,DEN,1.0,1.0,7.0,7.0,11.0,10.0,9.0,5.0,4.0,3.0,55.0,55.0,2012,K
14,Dan Bailey,DAL,1.0,1.0,5.0,5.0,13.0,13.0,7.0,7.0,5.0,3.0,37.0,37.0,2012,K
15,Rob Bironas,TEN,,,6.0,6.0,13.0,13.0,10.0,5.0,2.0,1.0,35.0,35.0,2012,K
