,Player,Pred Pts,Pred Rk
35,Justin Tucker,193.165430447475,1
64,Younghoe Koo,176.16113182704711,2
13,Daniel Carlson,176.07363856555088,3
5,Brett Maher,174.98319070341833,4
21,Greg Zuerlein,172.05065141378935,5
29,Jason Myers,168.17132732844448,6
20,Greg Joseph,167.20476498219833,7
46,Nick Folk,166.8538477148216,8
4,Brandon McManus,163.14122619659136,9
10,Chase McLaughlin,161.81374545838335,10
30,Jason Sanders,160.31244112437008,11
55,Ryan Succop,159.9817755433866,12
52,Robbie Gould,159.13220656205812,13
51,Riley Patterson,157.95280879712396,14
19,Graham Gano,154.82833828243474,15
62,Tyler Bass,153.93188989806126,16
16,Eddy Pineiro,150.9201133080111,17
18,Evan McPherson,147.45572784218862,18
6,Cade York,146.63699758101214,19
40,Matt Gay,142.9356988413023,20
63,Wil Lutz,141.98186078769595,21
38,Mason Crosby,138.7094373144976,22
36,Ka'imi Fairbairn,136.8785005943747,23
31,Joey Slye,134.14588193439567,24
27,Jake Elliott,132.46187916607056,25
43,Michael Badgley,131.81196212286494,26
11,Chris Boswell,127.94614055379705,27
22,Harrison Butker,126.64823062590575,28
7,Cairo Santos,113.01063644966823,29
41,Matt Prater,112.3925091471306,30
49,Randy Bullock,99.62531268088108,31
9,Cameron Dicker,98.78495896865638,32
42,Matthew Wright,78.99422734588283,33
15,Dustin Hopkins,44.27156417260298,34
1,Austin Seibert,32.302698190426916,35
39,Matt Ammendola,25.09463522629328,36
53,Rodrigo Blankenship,23.104051044869657,37
57,Taylor Bertolet,14.968119755818263,38
8,Caleb Shudak,10.847258636628409,39
61,Tristan Vizcaino,10.143049218834776,40
47,Nick Sciba,6.924800814962136,41
14,Dominik Eberle,5.9193514644899565,42
33,Josh Lambo,2.9821524224317333,43
45,Mitch Wishnowsky,1.130772084108428,44
34,Justin Reid,0.989724857177673,45
54,Ryan Stonehouse,0.6278789764597724,46
32,Johnny Hekker,0.32243862732278805,47
37,Logan Cooke,0.29958629671163417,48
48,Ramiz Ahmed,0.2886527818821789,49
50,Riley Dixon,0.28433944970019703,50
12,Corey Bojorquez,0.18428504914220972,51
17,Eno Benjamin,0.16355010457343633,52
56,Sam Martin,0.16319669167468995,53
58,Thomas Morstead,0.14632077556834544,54
60,Tress Way,0.12808186340962072,55
0,Arryn Siposs,0.11736007974649754,56
28,Jamie Gillan,0.08004778726761662,57
59,Trenton Gill,0.016022353277976294,58
25,Jake Bailey,-0.023320208844257537,59
23,JK Scott,-0.10485432755647693,60
2,Braden Mann,-0.144582137093714,61
26,Jake Camarda,-0.21535843636876512,62
44,Michael Dickson,-0.3131471491842092,63
24,Jack Fox,-0.3629640227034423,64
3,Bradley Pinion,-0.37707276289002506,65
