,Player,Tm,Pred Pts,Pred Rk
0,Josh Allen,BUF,373.9016291009443,1
2,Patrick Mahomes,KC,363.22950984803845,2
1,Jalen Hurts,PHI,353.8370068871622,3
3,Lamar Jackson,BAL,327.73833497125804,4
4,Joe Burrow,CIN,326.1023011705184,5
5,Justin Herbert,LAC,308.2093489204146,6
6,Justin Fields,CHI,302.6269304225262,7
7,Deshaun Watson,CLE,297.0535270356169,8
9,Kirk Cousins,MIN,290.64642895595654,9
8,Trevor Lawrence,JAC,290.46938027961653,10
10,Dak Prescott,DAL,286.1605684818865,11
11,Geno Smith,SEA,275.4128416144901,12
12,Aaron Rodgers,NYJ,273.90264836913286,13
14,Russell Wilson,DEN,270.3031200445528,14
16,Tua Tagovailoa,MIA,270.02024397942216,15
13,Daniel Jones,NYG,263.3324087595364,16
15,Anthony Richardson,IND,262.10471990645584,17
17,Jared Goff,DET,257.5640179740447,18
21,Matthew Stafford,LA,242.71701851588358,19
20,Derek Carr,NO,241.72627524727142,20
19,Ryan Tannehill,TEN,239.31485110714505,21
18,Kenny Pickett,PIT,238.58605911395483,22
22,Jordan Love,GB,238.25102381663947,23
23,Bryce Young,CAR,231.77345901363157,24
24,Brock Purdy,SF,224.2193833547529,25
26,Jimmy Garoppolo,LV,215.84635164682038,26
25,Mac Jones,NE,215.14378314441825,27
27,C.J. Stroud,HOU,214.88085399555894,28
29,Sam Howell,WAS,179.39441209685856,29
28,Kyler Murray,ARI,174.9916242122319,30
30,Baker Mayfield,TB,160.71256504758787,31
31,Desmond Ridder,ATL,149.20054067039672,32
32,Jacoby Brissett,WAS,87.36598892689831,33
33,Kyle Trask,TB,85.39338773864557,34
34,Taylor Heinicke,ATL,76.71711038377788,35
35,Colt McCoy,ARI,71.13519860191427,36
36,Trey Lance,SF,49.29693638012424,37
37,Bailey Zappe,NE,29.91745394317357,38
38,Mike White,MIA,29.397686349443156,39
39,Tyler Huntley,BAL,22.823725304834692,40
40,Will Levis,TEN,22.137849532706028,41
41,Davis Mills,HOU,21.99803359799227,42
42,Gardner Minshew,IND,19.015980496117677,43
43,Marcus Mariota,PHI,17.805034458171544,44
44,Andy Dalton,CAR,16.842540021219563,45
46,Jameis Winston,NO,16.325532587185908,46
47,Mitch Trubisky,PIT,15.698816971149352,47
48,Nick Mullens,MIN,15.20900575956281,48
45,Tyrod Taylor,NYG,15.072997640945623,49
49,Zach Wilson,NYJ,13.772170025180953,50
50,Jarrett Stidham,DEN,13.69081705730889,51
52,Drew Lock,SEA,13.056033621723016,52
51,Hendon Hooker,DET,12.735920635452851,53
53,Joshua Dobbs,CLE,12.342617226763075,54
