,Player,Tm,Pred Pts,Pred Rk
0,Christian McCaffrey,SF,206.76202688184338,1
4,Nick Chubb,CLE,205.6057206505388,2
2,Bijan Robinson,ATL,203.37959949212726,3
5,Derrick Henry,TEN,203.18957848285106,4
1,Austin Ekeler,LAC,202.32733873372877,5
6,Jonathan Taylor,IND,202.0371829227593,6
3,Saquon Barkley,NYG,196.81208799606085,7
7,Tony Pollard,DAL,190.16119539687534,8
8,Josh Jacobs,LV,189.97346345023573,9
9,Rhamondre Stevenson,NE,173.22015468509213,10
10,Joe Mixon,CIN,170.96448058561108,11
12,Najee Harris,PIT,168.59415868143245,12
11,Aaron Jones,GB,166.65146241918106,13
14,Travis Etienne,JAC,162.43186736885633,14
13,Breece Hall,NYJ,161.91832325173596,15
15,Alexander Mattison,MIN,156.97747553932766,16
17,Miles Sanders,CAR,156.9632743886406,17
16,Dameon Pierce,HOU,154.70199937847502,18
18,Dalvin Cook,NYJ,154.63044570431833,19
23,Kenneth Walker,SEA,148.4673528717621,20
22,Cam Akers,LA,147.70386941373454,21
19,Jahmyr Gibbs,DET,145.96066010534807,22
24,David Montgomery,DET,145.91543342549332,23
20,James Conner,ARI,145.19865766883544,24
26,J.K. Dobbins,BAL,143.73211207605652,25
21,Rachaad White,TB,140.44447645272857,26
25,Javonte Williams,DEN,139.4018471605564,27
29,Isiah Pacheco,KC,133.23045592492636,28
27,James Cook,BUF,131.01393019243952,29
31,Brian Robinson,WAS,123.54396096152627,30
28,Alvin Kamara,NO,121.32802681710962,31
32,AJ Dillon,GB,117.00213354326519,32
30,D'Andre Swift,PHI,116.69808764395916,33
34,Samaje Perine,DEN,110.3275888661243,34
33,Antonio Gibson,WAS,106.58842046885297,35
35,Khalil Herbert,CHI,103.08349922490763,36
36,Jamaal Williams,NO,95.40962869747457,37
38,Damien Harris,BUF,93.84658424388218,38
41,Rashaad Penny,PHI,93.38078513643109,39
42,Elijah Mitchell,SF,90.4368025743916,40
39,Zach Charbonnet,SEA,89.58875148455508,41
40,Devin Singletary,HOU,86.43269546438444,42
37,Jerick McKinnon,KC,83.89578295002647,43
43,Jeff Wilson,MIA,82.41428038078021,44
44,Raheem Mostert,MIA,79.87063313170856,45
46,Tyler Allgeier,ATL,75.14403417126232,46
49,D'Onta Foreman,CHI,71.84887094562967,47
45,Chuba Hubbard,CAR,71.65373458828813,48
52,Gus Edwards,BAL,69.6032343043914,49
48,Roschon Johnson,CHI,69.4780623568592,50
47,Michael Carter,NYJ,66.60795647890754,51
51,Tank Bigsby,JAC,66.47823822502775,52
50,Tyjae Spears,TEN,63.60941517059589,53
53,Kenneth Gainwell,PHI,58.32426663741148,54
54,Jerome Ford,CLE,55.9160047804919,55
56,Pierre Strong,NE,55.645083182127216,56
55,Clyde Edwards-Helaire,KC,54.64411277030051,57
60,Kendre Miller,NO,51.76422479371315,58
59,Ty Chandler,MIN,49.841817065784205,59
57,Cordarrelle Patterson,ATL,49.25865590203502,60
58,Kyren Williams,LA,49.18622447329432,61
61,Joshua Kelley,LAC,47.149562236866736,62
65,Zamir White,LV,44.776563430393075,63
