,Player,Tm,Pred Pts,Pred Rk
0,Travis Kelce,KC,170.41738259288564,1
1,Mark Andrews,BAL,128.5438490454979,2
2,George Kittle,SF,113.42209549572391,3
3,T.J. Hockenson,MIN,106.15741353200352,4
5,Kyle Pitts,ATL,99.32504837094888,5
4,Darren Waller,NYG,98.8969403685222,6
6,Dallas Goedert,PHI,93.94170954572672,7
7,Pat Freiermuth,PIT,86.24256481070069,8
9,David Njoku,CLE,84.1049114260251,9
8,Evan Engram,JAC,80.96461539956047,10
10,Dalton Schultz,HOU,78.17786211882373,11
11,Chigoziem Okonkwo,TEN,78.14034910364464,12
13,Dalton Kincaid,BUF,76.78935488062012,13
14,Greg Dulcich,DEN,74.28667655536,14
12,Tyler Higbee,LA,72.18413047594964,15
18,Juwan Johnson,NO,69.33738284998128,16
15,Irv Smith,CIN,67.3511847846307,17
19,Hunter Henry,NE,67.08852302163058,18
17,Cole Kmet,CHI,66.9669009013667,19
16,Gerald Everett,LAC,66.6881208704819,20
21,Dawson Knox,BUF,66.01278278209796,21
20,Mike Gesicki,NE,65.56624852110326,22
23,Tyler Conklin,NYJ,57.768822962801465,23
22,Hayden Hurst,CAR,56.24569387971214,24
24,Zach Ertz,ARI,54.3401384790593,25
25,Jake Ferguson,DAL,53.47696799911723,26
28,Luke Musgrave,GB,52.783528756354876,27
26,Cade Otton,TB,52.61518608877466,28
27,Noah Fant,SEA,52.59348399132487,29
31,Jelani Woods,IND,52.37024405644087,30
30,Michael Mayer,LV,50.697635145203655,31
29,Logan Thomas,WAS,50.39833456538118,32
33,Isaiah Likely,BAL,45.356436222893095,33
34,Trey McBride,ARI,40.29394020937767,34
35,Austin Hooper,LV,35.5490478220876,35
39,Donald Parham,LAC,30.731681307688767,36
37,Will Dissly,SEA,30.60028713545273,37
38,Foster Moreau,NO,30.303106896333656,38
36,Durham Smythe,MIA,30.156140942147875,39
40,Jonnu Smith,ATL,28.169168749138905,40
41,Tucker Kraft,GB,25.565287140220235,41
42,C.J. Uzomah,NYJ,22.834582979288513,42
46,Mo Alie-Cox,IND,22.330630289452564,43
43,Harrison Bryant,CLE,21.93447128759813,44
44,Noah Gray,KC,21.902266257092776,45
47,Brock Wright,DET,21.263433765554094,46
50,Jody Fortson,KC,20.705195791256646,47
45,Eric Saubert,MIA,20.699469097626135,48
49,Tommy Tremble,CAR,20.491040064437083,49
48,Luke Schoonmaker,DAL,20.304264544629437,50
53,Robert Tonyan,CHI,19.02371523702772,51
51,Ian Thomas,CAR,18.927209488809787,52
54,Darnell Washington,PIT,18.513856726415163,53
52,Daniel Bellinger,NYG,18.21222608926544,54
55,Jordan Akins,CLE,17.73508091051266,55
56,Brenton Strange,JAC,17.22975883277935,56
57,Josh Oliver,MIN,15.676525687901968,57
58,Josh Whyle,TEN,15.627893525595848,58
61,Teagan Quitoriano,HOU,15.367922853561115,59
59,Albert Okwuegbunam,DEN,15.305892527012166,60
60,Brevin Jordan,HOU,15.112607009983664,61
63,Adam Trautman,DEN,14.41233776182727,62
67,Brycen Hopkins,LA,14.323511098446286,63
62,Josiah Deguara,GB,14.131666758811459,64
65,Hunter Long,LA,13.935236939941552,65
68,Ko Kieft,TB,13.758177853780346,66
66,Colby Parkinson,SEA,13.627425047582635,67
64,Kylen Granson,IND,13.480199819359385,68
69,Kevin Rader,TEN,13.257002918156358,69
70,Tre' McKitty,LAC,13.073214178327502,70
71,Tyler Kroft,MIA,12.951091370982184,71
32,Taysom Hill,NO,12.028285796007644,72
73,Drew Sample,CIN,11.218736491299907,73
72,John Bates,WAS,11.217738369587767,74
75,Cameron Latu,SF,10.840296530223712,75
74,Connor Heyward,PIT,10.224633743890557,76
76,Charlie Kolar,BAL,10.211734664162142,77
77,Trevon Wesco,TEN,8.83284349069451,78
78,Johnny Mundt,MIN,7.705933597504885,79
79,Shane Zylstra,DET,7.698959562671861,80
80,Jeremy Ruckert,NYJ,7.046660276719965,81
81,Cole Turner,WAS,5.050412804046388,82
82,Grant Calcaterra,PHI,4.668849794093986,83
