,Player,Tm,Pred Pts,Pred Rk
0,Justin Jefferson,MIN,201.94005136111122,1
1,Ja'Marr Chase,CIN,193.36691795796122,2
2,Cooper Kupp,LA,180.61242296585067,3
3,Tyreek Hill,MIA,177.3024778279227,4
4,Stefon Diggs,BUF,173.3734853942977,5
5,Davante Adams,LV,169.88550807631748,6
7,A.J. Brown,PHI,167.76894586428216,7
6,CeeDee Lamb,DAL,163.7375991516946,8
9,Garrett Wilson,NYJ,154.18922272259533,9
10,Jaylen Waddle,MIA,152.375120049403,10
8,Amon-Ra St. Brown,DET,144.708768783162,11
11,Tee Higgins,CIN,143.2236567066306,12
12,Calvin Ridley,JAC,142.12608716660856,13
13,Chris Olave,NO,140.58002721014884,14
17,Amari Cooper,CLE,137.78897490333867,15
16,DK Metcalf,SEA,135.92816258277145,16
18,Jerry Jeudy,DEN,135.85620296521745,17
15,DeVonta Smith,PHI,135.72046499346277,18
14,Keenan Allen,LAC,130.85765927466196,19
20,Christian Watson,GB,127.96239737738715,20
21,Mike Williams,LAC,127.09712405176968,21
19,Tyler Lockett,SEA,125.74132923770391,22
28,Mike Evans,TB,124.94198165071386,23
23,Terry McLaurin,WAS,124.49538106920382,24
22,Deebo Samuel,SF,124.08920554822632,25
32,Gabe Davis,BUF,124.07153587759313,26
29,Brandon Aiyuk,SF,120.48404065505368,27
25,DeAndre Hopkins,TEN,119.98823628633774,28
27,Drake London,ATL,119.16688872226241,29
30,Christian Kirk,JAC,118.19304922932687,30
33,DJ Moore,CHI,117.80325591135531,31
24,Diontae Johnson,PIT,116.56818642057517,32
26,Chris Godwin,TB,114.50810992936752,33
31,Marquise Brown,ARI,112.76864270371833,34
38,Jahan Dotson,WAS,112.1004402946474,35
34,Brandin Cooks,DAL,111.71085431171811,36
37,Treylon Burks,TEN,111.31050573077164,37
36,Jaxon Smith-Njigba,SEA,110.59696179791055,38
35,Jordan Addison,MIN,109.96422902565628,39
39,George Pickens,PIT,107.78349210777483,40
41,Quentin Johnston,LAC,102.68978388834348,41
43,Allen Lazard,NYJ,98.80160832811501,42
40,Michael Pittman,IND,98.44512817892074,43
44,Nico Collins,HOU,96.40431322680485,44
45,Courtland Sutton,DEN,94.86593582505324,45
47,Rashod Bateman,BAL,94.15871933139921,46
42,Jakobi Meyers,LV,92.90268211338915,47
48,Zay Flowers,BAL,92.60512581864073,48
46,Tyler Boyd,CIN,91.37925821110952,49
56,Van Jefferson,LA,90.28279935108577,50
54,Odell Beckham,BAL,89.52567422826891,51
49,Skyy Moore,KC,88.71891746989607,52
51,Adam Thielen,CAR,87.73586340817212,53
59,Marquez Valdes-Scantling,KC,87.70118988101746,54
53,Elijah Moore,CLE,87.53873282006226,55
50,Michael Thomas,NO,86.60717567867431,56
58,Michael Gallup,DAL,85.25903864939414,57
52,Zay Jones,JAC,83.60999033669613,58
55,JuJu Smith-Schuster,NE,82.87404323368077,59
61,Jonathan Mingo,CAR,82.40759687011933,60
60,K.J. Osborn,MIN,81.03103897261187,61
64,DJ Chark,CAR,81.02131441706372,62
67,Jameson Williams,DET,80.367867933863,63
63,Donovan Peoples-Jones,CLE,79.72509220301589,64
57,Rondale Moore,ARI,77.02626656440385,65
62,Romeo Doubs,GB,76.13665168775643,66
69,DeVante Parker,NE,75.20409409421542,67
70,Darnell Mooney,CHI,74.75321563206683,68
71,Kadarius Toney,KC,74.09458365574135,69
68,Robert Woods,HOU,73.05245319165124,70
74,Marvin Mims,DEN,72.8977303295302,71
65,Curtis Samuel,WAS,72.53401537089795,72
66,Hunter Renfrow,LV,72.14714026991537,73
72,Isaiah Hodgins,NYG,70.5437380243724,74
76,Alec Pierce,IND,69.71383267370048,75
75,Rashid Shaheed,NO,69.34036592332306,76
73,Jayden Reed,GB,69.02489413421445,77
77,Rashee Rice,KC,66.47668665095449,78
79,Darius Slayton,NYG,66.02881434547133,79
78,Russell Gage,TB,61.30178784151338,80
80,Mack Hollins,ATL,57.24347894450468,81
81,Mecole Hardman,NYJ,55.88897561196355,82
82,Chase Claypool,CHI,54.992148173366495,83
85,Corey Davis,NYJ,53.985408041912365,84
84,Tyquan Thornton,NE,53.3535710962942,85
83,John Metchie,HOU,52.67785980351115,86
88,Marvin Jones,DET,51.51679055387596,87
86,Joshua Palmer,LAC,49.00592191941043,88
91,Khalil Shakir,BUF,47.96044679442211,89
87,Wan'Dale Robinson,NYG,47.57878123109805,90
89,Michael Wilson,ARI,46.34025435653978,91
90,Josh Downs,IND,46.17561577650896,92
93,Josh Reynolds,DET,45.627359498439475,93
96,Jalin Hyatt,NYG,44.01964018916299,94
92,Kyle Philips,TEN,42.956399468076164,95
95,Allen Robinson,PIT,42.11681613642731,96
97,Kendrick Bourne,NE,41.19399399120899,97
99,Jauan Jennings,SF,39.04957055007098,98
98,Ben Skowronek,LA,38.60599665137371,99
94,Greg Dortch,ARI,38.52096987582788,100
100,Tutu Atwell,LA,36.989744358956315,101
103,Olamide Zaccheaus,PHI,34.69741439363852,102
102,Terrace Marshall,CAR,34.500605215024535,103
101,Parris Campbell,NYG,32.751521005491796,104
106,Nick Westbrook-Ikhine,TEN,32.70204362052361,105
105,Cedric Tillman,CLE,31.765316969549104,106
104,Richie James,KC,31.56247342392546,107
107,Braxton Berrios,MIA,28.003990056485655,108
109,Puka Nacua,LA,27.481427571409967,109
108,Laviska Shenault,CAR,27.451098489443137,110
110,Jamal Agnew,JAC,26.38827254111212,111
112,Noah Brown,HOU,26.28489947005782,112
111,Cedrick Wilson,MIA,25.48735993286423,113
113,Calvin Austin,PIT,24.619867649051155,114
114,Zach Pascal,ARI,23.392538798210886,115
116,Quez Watkins,PHI,22.601137075849252,116
119,Trenton Irwin,CIN,22.26152952996844,117
120,Marquise Goodwin,CLE,22.02670440799013,118
115,Sterling Shepard,NYG,21.66117651099091,119
117,Deonte Harty,BUF,20.930820340698883,120
118,Kalif Raymond,DET,20.31569545391977,121
121,Randall Cobb,NYJ,18.924690948174163,122
124,Jalen Guyton,LAC,18.887625199356606,123
123,Chris Moore,TEN,18.405788615284575,124
122,Isaiah McKenzie,IND,17.946269824020696,125
126,Nelson Agholor,BAL,17.611180752509014,126
125,Tyler Scott,CHI,17.15573519997323,127
127,Parker Washington,JAC,16.602002103344805,128
129,Tre'Quan Smith,NO,16.178088006138427,129
128,Tre Tucker,LV,16.161573278670406,130
132,Dyami Brown,WAS,16.15021804923532,131
131,David Moore,TB,15.958986957373682,132
134,Jalen Tolbert,DAL,15.956702080178271,133
130,Dontayvion Wicks,GB,15.885231852427388,134
133,KhaDarel Hodge,ATL,15.580944094804629,135
135,Samori Toure,GB,15.421123526194148,136
136,Devin Duvernay,BAL,13.96547044900664,137
137,Trent Sherfield,BUF,13.619339716935235,138
138,Kendall Hinton,DEN,13.571187352762825,139
139,Equanimeous St. Brown,CHI,13.450578075430697,140
144,Velus Jones,CHI,12.556245009614042,141
141,Jalen Reagor,MIN,11.775717297073488,142
140,Charlie Jones,CIN,11.578393842413881,143
143,Shi Smith,CAR,11.252943652564484,144
142,Jalen Nailor,MIN,11.228533122635785,145
145,James Washington,NO,11.120450001902245,146
148,Justin Watson,KC,10.98502657539437,147
146,Trey Palmer,TB,10.64521066748624,148
147,Ashton Dulin,IND,10.354427622866876,149
150,DeAndre Carter,LV,9.727911014942482,150
149,Erik Ezukanma,MIA,9.581698872307907,151
153,Denzel Mims,DET,9.426715912020258,152
154,Dareke Young,SEA,9.225379181171524,153
152,Kayshon Boutte,NE,9.064645778824424,154
157,Danny Gray,SF,8.566977949664379,155
156,Brandon Powell,MIN,8.259467022840091,156
151,Penny Hart,ATL,8.256261815182613,157
158,Britain Covey,PHI,8.150093365496836,158
160,Chris Conley,SF,7.959663303175471,159
155,Deven Thompkins,TB,7.681017074891182,160
159,Ray-Ray McCloud,SF,7.572087834449594,161
161,David Bell,CLE,7.2262696534733255,162
162,Demario Douglas,NE,6.867962510210662,163
163,Simi Fehoko,DAL,6.788565484448622,164
164,Mike Strachan,IND,6.438756524433185,165
165,Justin Shorter,BUF,6.152230718105283,166
167,Phillip Dorsett,LV,5.6332195204517985,167
170,Amari Rodgers,IND,5.27954297619497,168
168,Lance McCutcheon,LA,5.239375246297664,169
171,Tom Kennedy,DET,5.048550948161721,170
166,Marcus Kemp,WAS,4.8245285010264345,171
173,KaVontae Turpin,DAL,4.725028971448388,172
169,Tim Jones,JAC,4.657971407492603,173
172,Gunner Olszewski,PIT,4.536075157215238,174
174,Racey McMath,TEN,3.9982230652164032,175
175,Mason Kinsey,TEN,3.4682045283369582,176
178,Bryan Edwards,NO,3.2612762417554144,177
176,Dax Milne,WAS,3.014059384864181,178
179,Miles Boykin,PIT,2.9322348836536474,179
177,Cade Johnson,SEA,2.880052098354346,180
181,Trent Taylor,CIN,2.7783332897205115,181
180,Frank Darby,ATL,2.6825213895098194,182
182,James Proche,BAL,2.5191194253878493,183
183,Derius Davis,LAC,2.0362845204376225,184
184,Grant DuBose,GB,1.8815142407278524,185
185,Trinity Benson,DET,1.664237067894632,186
