Player,Team,P Att,P Comp,Comp. %,P Yds,P TDs,INT,Ru Att,Ru Yds,Ru TDs,Proj Pts
Josh Allen,BUF,562,355,63%,4198.7,33.1,13.0,109.7,607.2,6.4,373.7
Jalen Hurts,PHI,482,312,64%,3706.3,24.6,8.4,158.2,789.8,9.7,366.7
Patrick Mahomes,KC,601,397,66%,4768.9,36.7,11.1,60.4,325.4,2.3,361.8
Lamar Jackson,BAL,470,298,63%,3418.3,25.6,10.8,140.4,868.1,5.0,334.2
Joe Burrow,CIN,573,393,68%,4376.2,33.0,12.6,61.3,197.7,3.3,321.2
Justin Herbert,LAC,610,408,66%,4439.0,30.0,10.6,57.4,222.3,1.8,309.1
Justin Fields,CHI,395,245,61%,2803.5,19.6,12.7,162.3,1025.0,6.5,306.3
Deshaun Watson,CLE,493,320,64%,3681.3,24.9,12.0,93.0,482.6,4.2,296.5
Trevor Lawrence,JAC,557,360,64%,4008.6,25.9,10.9,63.2,292.2,3.2,290.7
Kirk Cousins,MIN,591,391,66%,4350.6,29.4,11.8,28.3,102.2,1.2,285.3
Dak Prescott,DAL,538,359,66%,4011.3,27.9,11.8,54.9,219.7,2.0,282.3
Geno Smith,SEA,524,352,67%,3852.4,26.6,9.7,58.2,280.8,1.2,276.6
Aaron Rodgers,NYJ,541,352,65%,3976.9,28.0,8.0,32.4,105.2,1.6,275.6
Daniel Jones,NYG,501,325,64%,3354.5,17.9,9.5,102.4,585.0,4.3,271.3
Russell Wilson,DEN,498,316,63%,3701.3,24.2,10.1,58.8,281.9,2.8,269.8
Anthony Richardson,IND,433,247,57%,2861.5,15.6,12.4,149.8,838.4,5.2,267.2
Tua Tagovailoa,MIA,500,329,65%,3987.7,26.3,11.2,38.1,135.5,1.4,264.1
Jared Goff,DET,539,355,65%,3984.9,25.2,9.9,28.2,81.8,1.1,255.5
Kenny Pickett,PIT,512,328,63%,3440.6,20.0,11.6,67.2,281.9,2.5,237.7
Ryan Tannehill,TEN,454,299,65%,3429.3,20.6,9.9,43.4,181.6,3.1,236.7
Derek Carr,NO,513,334,65%,3800.4,23.4,11.5,30.9,103.0,0.5,235.7
Matthew Stafford,LA,544,365,67%,4017.0,23.1,13.2,25.9,44.7,0.5,234.0
Jordan Love,GB,505,318,63%,3541.2,21.7,13.8,55.4,214.3,1.4,231.0
Bryce Young,CAR,508,311,61%,3405.3,19.6,13.9,56.9,234.8,2.4,224.4
Brock Purdy,SF,421,276,65%,3271.4,22.6,10.1,33.8,81.3,1.5,218.0
Mac Jones,NE,495,326,65%,3439.2,19.3,12.3,43.5,128.2,1.1,209.8
Jimmy Garoppolo,LV,450,301,66%,3422.2,20.5,10.9,29.1,50.2,1.2,209.6
C.J. Stroud,HOU,493,296,59%,3266.6,17.9,13.4,55.9,222.5,1.8,208.2
Kyler Murray,ARI,338,226,66%,2324.8,13.3,7.2,53.3,300.6,2.5,177.3
Sam Howell,WAS,341,203,59%,2362.7,13.7,10.2,57.9,320.4,2.4,175.0
Baker Mayfield,TB,339,209,61%,2481.7,14.9,9.8,29.5,108.9,0.6,153.4
Desmond Ridder,ATL,322,204,63%,2162.0,12.4,8.3,41.0,158.3,1.9,146.7
Jacoby Brissett,WAS,209,131,62%,1386.3,6.5,4.5,23.8,94.7,1.0,88.1
Kyle Trask,TB,213,129,60%,1375.3,7.7,5.9,19.1,66.5,0.3,82.6
Taylor Heinicke,ATL,153,95,62%,1069.8,7.0,4.2,18.2,79.0,0.8,75.1
Colt McCoy,ARI,193,126,65%,1204.0,5.5,4.2,19.3,55.9,0.7,71.7
Trey Lance,SF,75,45,60%,546.9,3.8,2.3,21.2,107.0,1.1,49.9
Bailey Zappe,NE,70,45,64%,499.9,2.8,2.0,5.5,15.2,0.1,28.7
Mike White,MIA,68,43,63%,481.1,2.9,2.2,4.0,10.8,0.1,27.7
Tyler Huntley,BAL,56,36,65%,352.0,1.6,1.2,11.6,57.2,0.1,24.3
Will Levis,TEN,51,31,60%,340.2,2.0,1.4,6.7,30.0,0.1,22.3
Davis Mills,HOU,56,35,63%,371.4,2.2,1.6,4.2,12.6,,21.8
Gardner Minshew,IND,43,27,63%,313.1,1.6,0.8,5.3,22.0,0.1,19.7
Marcus Mariota,PHI,34,21,61%,253.9,1.4,0.9,6.3,34.0,0.2,18.8
Andy Dalton,CAR,43,27,64%,298.4,1.6,1.2,3.4,10.0,,16.6
Tyrod Taylor,NYG,33,21,63%,228.6,1.2,0.9,5.2,30.0,0.1,16.1
Jameis Winston,NO,34,21,63%,253.7,1.6,1.0,3.0,12.9,0.1,15.9
Mitch Trubisky,PIT,39,25,65%,262.9,1.3,1.2,4.8,19.8,0.1,15.6
Nick Mullens,MIN,32,21,66%,236.6,1.8,0.9,2.2,4.7,,15.1
Zach Wilson,NYJ,33,19,57%,224.9,1.4,0.8,3.2,13.3,,14.2
Jarrett Stidham,DEN,31,19,60%,221.8,1.4,0.9,3.2,13.1,,13.8
Hendon Hooker,DET,29,17,57%,194.7,1.2,0.8,4.6,23.9,,13.7
Drew Lock,SEA,31,18,59%,212.8,1.2,0.8,2.8,12.2,0.1,13.2
Joshua Dobbs,CLE,31,18,59%,195.1,1.1,0.9,3.7,17.6,0.1,12.6
