Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Christian McCaffrey,SF,205.2,953.8,7.1,81.80,66.55,566.4,3.80,250.7
Austin Ekeler,LAC,187.9,811.5,8.8,84.35,70.00,536.9,4.00,246.3
Bijan Robinson,ATL,262.9,1197.0,9.2,50.20,38.55,288.9,1.85,234.5
Saquon Barkley,NYG,261.2,1133.5,8.6,68.50,50.95,367.1,1.20,234.0
Nick Chubb,CLE,260.8,1292.4,9.4,37.35,29.40,252.6,1.10,232.5
Derrick Henry,TEN,293.9,1272.5,9.8,36.30,28.25,252.3,0.70,229.3
Jonathan Taylor,IND,274.8,1336.2,8.8,38.60,28.50,211.9,1.10,228.2
Tony Pollard,DAL,210.8,1032.5,7.5,61.40,47.70,394.1,2.20,224.7
Josh Jacobs,LV,252.3,1127.4,9.2,49.25,39.35,281.1,0.85,221.1
Rhamondre Stevenson,NE,211.2,958.9,6.8,67.80,54.40,375.3,1.55,210.4
Joe Mixon,CIN,221.3,866.6,7.2,61.55,51.15,371.6,2.25,206.4
Aaron Jones,GB,179.7,908.1,5.0,61.00,48.15,375.3,2.95,199.8
Najee Harris,PIT,245.4,972.4,7.5,52.15,39.65,242.6,2.00,198.6
Breece Hall,NYJ,192.8,912.5,6.2,56.30,41.20,334.7,1.65,192.4
Travis Etienne,JAC,202.8,979.5,6.2,45.50,35.45,291.4,1.35,190.1
Alexander Mattison,MIN,216.2,877.1,7.2,43.45,36.25,261.9,1.50,184.2
Dameon Pierce,HOU,221.9,931.8,6.3,48.35,37.95,266.2,1.15,183.5
Miles Sanders,CAR,217.6,964.8,6.7,43.95,32.75,245.5,0.95,183.0
Dalvin Cook,NYJ,213.6,924.0,7.1,44.50,31.20,233.9,1.00,180.0
Jahmyr Gibbs,DET,146.2,650.4,5.2,60.30,50.05,410.1,2.75,178.8
James Conner,ARI,198.8,803.0,6.5,50.45,41.50,284.8,1.05,174.8
Rachaad White,TB,192.8,765.0,5.5,59.90,46.90,311.0,1.45,173.0
Cam Akers,LA,213.4,869.3,6.6,35.80,27.90,227.8,1.25,170.8
Kenneth Walker,SEA,204.6,922.0,7.3,30.40,23.40,160.1,0.90,169.4
David Montgomery,DET,201.1,847.9,7.4,35.60,26.05,202.3,0.90,167.9
Javonte Williams,DEN,188.4,822.6,5.6,44.20,34.90,240.9,1.35,165.5
J.K. Dobbins,BAL,184.7,922.8,6.2,27.10,22.05,159.4,1.15,163.7
James Cook,BUF,143.7,682.5,4.2,55.40,41.60,332.9,2.05,159.5
Alvin Kamara,NO,138.3,560.2,3.8,57.40,44.70,394.2,1.80,151.4
Isiah Pacheco,KC,186.7,842.0,6.0,23.35,18.95,159.2,0.90,151.0
D'Andre Swift,PHI,128.7,584.4,4.5,47.10,36.45,277.3,1.75,141.6
