Player,Team,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Travis Kelce,KC,133.40,94.95,1143.4,9.75,220.7
Mark Andrews,BAL,112.50,74.85,894.0,6.85,168.3
George Kittle,SF,86.25,61.80,779.5,6.20,146.4
T.J. Hockenson,MIN,109.00,75.85,767.1,5.25,146.1
Darren Waller,NYG,97.65,62.75,744.8,4.35,132.0
Kyle Pitts,ATL,97.85,56.80,753.0,4.25,129.2
Dallas Goedert,PHI,79.90,59.00,704.3,4.20,125.1
Pat Freiermuth,PIT,88.00,58.85,636.0,4.05,117.3
Evan Engram,JAC,83.00,58.80,610.6,3.60,112.5
David Njoku,CLE,75.10,52.80,580.7,4.60,112.3
Dalton Schultz,HOU,86.95,56.70,561.0,3.95,108.1
Chigoziem Okonkwo,TEN,64.10,45.65,555.4,4.00,104.5
Tyler Higbee,LA,80.60,57.60,525.9,3.55,102.7
Dalton Kincaid,BUF,70.70,45.65,526.6,4.25,101.0
Greg Dulcich,DEN,68.35,43.85,540.0,3.60,97.5
Irv Smith,CIN,65.60,48.50,436.9,4.20,93.1
Gerald Everett,LAC,66.25,45.70,465.1,3.60,91.0
Cole Kmet,CHI,63.70,43.75,464.4,3.65,90.3
Juwan Johnson,NO,57.25,36.85,432.4,4.55,89.0
Hunter Henry,NE,59.05,40.75,464.9,3.65,88.8
Mike Gesicki,NE,61.05,38.45,436.9,3.85,86.1
Dawson Knox,BUF,52.00,35.90,402.3,4.50,85.2
Hayden Hurst,CAR,62.95,47.40,415.6,2.70,81.5
Tyler Conklin,NYJ,60.10,43.20,417.6,2.90,80.8
Zach Ertz,ARI,58.65,38.85,361.2,3.25,75.1
Jake Ferguson,DAL,46.40,37.45,358.9,3.15,73.5
Cade Otton,TB,61.45,38.65,373.6,2.75,73.2
Noah Fant,SEA,51.00,38.20,376.9,2.70,73.0
Luke Musgrave,GB,52.85,34.60,386.4,2.55,71.2
Logan Thomas,WAS,60.60,38.90,345.7,2.85,71.1
Michael Mayer,LV,51.20,33.35,350.4,2.80,68.5
Jelani Woods,IND,47.70,29.75,360.1,2.90,68.3
Taysom Hill,NO,11.80,7.35,66.5,1.00,63.5
Isaiah Likely,BAL,41.35,28.50,299.2,2.75,60.7
Trey McBride,ARI,44.55,30.85,297.1,1.95,56.8
Austin Hooper,LV,38.75,24.80,245.2,2.00,48.9
Durham Smythe,MIA,34.90,25.40,218.8,1.55,43.9
Will Dissly,SEA,25.10,22.00,207.8,1.80,42.6
Foster Moreau,NO,27.40,18.10,215.3,1.60,40.2
Donald Parham,LAC,21.80,17.00,195.7,2.00,40.1
Jonnu Smith,ATL,28.85,19.85,185.6,1.75,39.7
Tucker Kraft,GB,27.20,18.25,183.1,1.35,35.5
C.J. Uzomah,NYJ,20.55,15.95,149.6,1.45,31.6
Harrison Bryant,CLE,22.20,17.30,155.9,1.20,31.5
Noah Gray,KC,20.00,16.10,158.3,1.15,30.8
Eric Saubert,MIA,23.40,16.05,143.1,1.20,29.5
Mo Alie-Cox,IND,20.75,12.50,143.4,1.45,29.3
Brock Wright,DET,19.05,12.25,132.8,1.45,28.1
Luke Schoonmaker,DAL,18.35,13.70,138.7,1.20,27.9
Tommy Tremble,CAR,23.80,12.90,128.0,1.40,27.7
Jody Fortson,KC,18.60,11.40,124.0,1.50,27.1
Ian Thomas,CAR,24.80,14.70,142.8,0.90,27.0
Daniel Bellinger,NYG,18.95,15.05,133.2,0.95,26.6
Robert Tonyan,CHI,18.55,13.30,125.8,1.20,26.4
Darnell Washington,PIT,20.90,13.30,132.5,1.00,25.9
Jordan Akins,CLE,18.80,13.95,143.0,0.70,25.5
Brenton Strange,JAC,20.55,13.05,128.6,0.85,24.5
Josh Oliver,MIN,20.75,12.40,112.9,0.85,22.6
Josh Whyle,TEN,14.00,10.70,109.3,0.90,21.7
Albert Okwuegbunam,DEN,16.40,9.80,93.7,1.10,20.9
Brevin Jordan,HOU,17.50,9.80,109.6,0.80,20.7
Teagan Quitoriano,HOU,16.10,9.15,97.1,1.05,20.6
Josiah Deguara,GB,17.85,11.30,103.3,0.75,20.5
Adam Trautman,DEN,12.60,9.80,94.0,0.95,20.0
Kylen Granson,IND,15.70,11.15,114.8,0.45,19.8
Hunter Long,LA,21.20,10.20,109.7,0.60,19.7
Colby Parkinson,SEA,12.85,10.20,104.2,0.65,19.4
Brycen Hopkins,LA,13.50,8.90,101.7,0.80,19.4
Ko Kieft,TB,15.60,9.20,102.0,0.70,19.0
Kevin Rader,TEN,17.30,9.40,91.0,0.80,18.6
Tre' McKitty,LAC,15.30,9.00,83.2,0.90,18.2
Tyler Kroft,MIA,13.40,7.60,87.6,0.80,17.4
John Bates,WAS,15.70,10.35,92.0,0.45,17.1
Drew Sample,CIN,11.20,8.90,76.9,0.70,16.3
Connor Heyward,PIT,12.60,7.60,78.4,0.50,15.4
Cameron Latu,SF,12.00,6.60,72.3,0.70,14.7
Charlie Kolar,BAL,11.10,6.60,66.1,0.70,14.1
Trevon Wesco,TEN,12.95,7.75,76.5,0.30,13.3
Johnny Mundt,MIN,9.70,5.80,52.9,0.50,11.2
Shane Zylstra,DET,9.60,5.10,52.6,0.50,10.8
Jeremy Ruckert,NYJ,8.40,5.20,49.2,0.45,10.2
Cole Turner,WAS,6.60,4.45,44.1,0.20,7.8
Grant Calcaterra,PHI,6.30,3.80,40.1,0.20,7.1
