Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Justin Jefferson,MIN,2.0,7.5,0.1,159.15,110.20,1569.8,8.10,261.7
Ja'Marr Chase,CIN,2.0,4.5,,150.15,98.95,1335.5,10.60,247.1
Cooper Kupp,LA,2.0,9.5,0.1,152.35,111.80,1347.5,8.35,242.0
Tyreek Hill,MIA,2.0,9.5,0.1,145.40,98.50,1348.5,7.60,231.6
Stefon Diggs,BUF,,,,145.25,99.65,1243.0,8.95,227.8
Davante Adams,LV,,,,148.85,92.85,1234.3,8.40,220.3
CeeDee Lamb,DAL,4.5,26.5,,138.85,94.05,1205.4,7.65,216.1
A.J. Brown,PHI,,,,126.70,78.05,1192.0,8.60,209.8
Amon-Ra St. Brown,DET,4.5,17.0,0.1,144.10,106.70,1146.0,5.70,204.8
Garrett Wilson,NYJ,2.0,8.0,,136.60,85.80,1127.9,7.45,201.2
Jaylen Waddle,MIA,1.0,4.5,0.1,119.90,80.20,1145.9,6.75,195.9
Tee Higgins,CIN,,,,121.50,78.75,1060.9,6.80,186.3
Calvin Ridley,JAC,1.0,4.0,,125.65,79.50,1032.4,7.05,185.7
Chris Olave,NO,,,,126.10,79.15,1109.2,5.55,183.8
Keenan Allen,LAC,0.5,2.0,,133.10,92.20,1002.8,5.90,182.0
DeVonta Smith,PHI,,,,117.65,78.40,999.8,6.60,178.8
DK Metcalf,SEA,,,,120.15,74.95,959.0,7.25,176.9
Amari Cooper,CLE,,,,110.10,70.20,986.8,7.05,176.1
Jerry Jeudy,DEN,1.5,7.0,,110.25,71.75,1027.7,6.00,175.3
Tyler Lockett,SEA,,,,105.00,74.40,909.8,6.45,166.9
Christian Watson,GB,4.5,21.5,0.2,109.20,65.10,924.5,5.95,164.4
Mike Williams,LAC,,,,105.40,66.80,960.5,5.70,163.7
Deebo Samuel,SF,23.0,127.0,1.4,104.65,65.60,825.2,4.55,163.7
Terry McLaurin,WAS,2.5,9.0,0.1,114.60,70.95,999.4,4.45,163.3
Diontae Johnson,PIT,2.0,9.0,0.1,133.60,83.55,896.9,5.00,162.7
DeAndre Hopkins,TEN,,,,113.40,75.65,927.6,5.20,161.8
Chris Godwin,TB,1.0,3.0,0.1,125.50,84.45,922.1,4.35,161.1
Drake London,ATL,,,,118.40,74.15,908.0,5.35,160.0
Mike Evans,TB,,,,113.35,64.10,926.0,5.85,159.7
Brandon Aiyuk,SF,1.0,4.5,0.1,102.05,66.70,877.8,5.85,157.0
Christian Kirk,JAC,1.0,4.0,,106.25,69.45,870.0,5.75,156.6
Marquise Brown,ARI,,,,122.90,76.65,897.6,4.50,155.1
Gabe Davis,BUF,,,,94.80,52.95,844.8,6.95,152.7
DJ Moore,CHI,2.5,12.5,,104.35,62.60,848.5,5.85,152.5
Brandin Cooks,DAL,,,,100.20,65.05,833.0,5.30,147.6
Jordan Addison,MIN,,,,102.35,67.85,833.1,5.05,147.5
Jaxon Smith-Njigba,SEA,,,,97.25,65.85,826.5,5.25,147.1
Treylon Burks,TEN,2.5,9.5,0.1,98.35,61.80,834.5,4.95,145.6
Jahan Dotson,WAS,2.5,9.0,0.1,103.70,59.90,851.5,4.75,144.8
George Pickens,PIT,2.0,9.0,0.1,94.20,57.85,815.3,4.65,139.6
Michael Pittman,IND,1.0,4.5,,111.55,70.25,795.4,3.75,137.6
Quentin Johnston,LAC,,,,91.20,56.90,768.5,4.80,134.1
Jakobi Meyers,LV,,,,98.85,64.80,750.4,3.60,129.0
Allen Lazard,NYJ,1.0,4.0,,83.40,54.30,709.0,5.10,129.0
Nico Collins,HOU,,,,99.35,56.95,762.0,3.85,127.8
Courtland Sutton,DEN,,,,94.75,55.15,731.2,4.10,125.3
Tyler Boyd,CIN,,,,81.85,58.55,685.2,4.40,124.2
Rashod Bateman,BAL,,,,84.65,52.75,697.2,4.55,123.4
Zay Flowers,BAL,,,,85.55,55.20,663.2,4.90,123.3
Skyy Moore,KC,1.0,5.0,,85.75,56.45,653.0,4.40,120.4
Michael Thomas,NO,,,,83.55,59.45,641.9,4.35,120.0
Adam Thielen,CAR,,,,86.45,56.25,604.3,5.10,119.2
Zay Jones,JAC,1.0,4.0,,87.50,59.35,635.9,3.90,117.1
Elijah Moore,CLE,2.5,4.5,,84.75,52.20,655.6,4.10,116.7
Odell Beckham,BAL,,,,82.80,48.75,633.3,4.80,116.5
JuJu Smith-Schuster,NE,,,,86.05,58.30,612.6,4.20,115.6
Van Jefferson,LA,,,,77.05,44.50,658.8,4.45,114.8
Rondale Moore,ARI,2.0,6.0,,93.85,66.50,656.4,2.55,114.8
Michael Gallup,DAL,,,,80.15,46.85,584.2,4.90,111.2
Marquez Valdes-Scantling,KC,,,,73.20,40.10,648.0,4.15,109.8
K.J. Osborn,MIN,2.0,7.5,0.1,71.40,49.80,569.0,4.35,108.9
Jonathan Mingo,CAR,2.0,9.0,,77.30,44.35,614.5,3.80,107.3
Romeo Doubs,GB,,,,85.30,52.95,577.4,3.60,105.8
Donovan Peoples-Jones,CLE,,,,73.35,45.80,629.2,3.25,105.3
DJ Chark,CAR,,,,73.80,42.15,614.3,3.65,104.4
Curtis Samuel,WAS,11.5,45.0,0.3,77.65,53.00,518.8,3.20,104.2
Hunter Renfrow,LV,,,,80.00,55.50,556.9,3.35,103.5
Jameson Williams,DET,,,,71.95,40.80,598.0,3.80,103.0
Robert Woods,HOU,,,,86.50,53.10,565.0,3.30,102.9
DeVante Parker,NE,,,,79.65,47.55,627.1,2.55,101.8
Darnell Mooney,CHI,1.5,5.0,,73.45,46.45,574.8,3.30,101.0
Kadarius Toney,KC,3.5,17.5,0.5,61.65,45.85,502.4,3.75,100.4
Isaiah Hodgins,NYG,,,,69.35,49.30,522.5,3.60,98.5
Jayden Reed,GB,,,,78.25,47.20,551.5,2.80,95.6
Marvin Mims,DEN,,,,66.90,38.95,548.0,3.40,94.7
Rashid Shaheed,NO,2.0,10.5,0.1,56.70,39.00,541.0,2.75,91.8
Alec Pierce,IND,,,,73.20,39.15,557.5,2.70,91.5
Rashee Rice,KC,,,,61.55,40.05,478.3,3.55,89.2
Russell Gage,TB,,,,76.85,48.00,452.9,3.20,88.5
Darius Slayton,NYG,,,,63.40,38.65,538.0,2.45,87.8
Mack Hollins,ATL,,,,63.10,37.90,490.1,1.80,78.8
Mecole Hardman,NYJ,2.0,12.0,0.1,48.90,33.90,404.9,2.75,75.4
Chase Claypool,CHI,1.5,5.0,,57.70,32.60,400.9,2.80,73.7
John Metchie,HOU,,,,60.50,36.50,411.6,2.35,73.5
Tyquan Thornton,NE,,,,58.30,30.70,389.1,2.75,70.8
Corey Davis,NYJ,,,,49.70,28.70,413.2,2.45,70.4
Joshua Palmer,LAC,,,,51.25,36.30,392.4,2.10,70.0
Wan'Dale Robinson,NYG,,,,58.45,38.45,387.9,1.95,69.7
Marvin Jones,DET,,,,50.15,30.40,366.6,2.85,69.0
Michael Wilson,ARI,,,,55.55,33.75,374.8,1.90,65.8
Josh Downs,IND,,,,53.30,33.45,367.4,2.00,65.5
Khalil Shakir,BUF,,,,51.55,29.30,351.3,2.50,64.8
Kyle Philips,TEN,,,,47.95,33.25,342.8,1.90,62.3
Josh Reynolds,DET,,,,39.75,26.65,343.4,2.25,61.2
Greg Dortch,ARI,,,,58.05,37.95,334.6,1.35,60.5
Allen Robinson,PIT,,,,48.65,30.65,319.9,2.10,59.9
Jalin Hyatt,NYG,,,,45.45,25.05,333.8,2.10,58.5
Kendrick Bourne,NE,2.0,8.0,0.1,38.00,27.00,321.8,1.70,57.0
Ben Skowronek,LA,,,,52.60,30.00,316.9,1.55,56.0
Jauan Jennings,SF,,,,39.45,27.40,324.6,1.50,55.2
Tutu Atwell,LA,,,,40.35,23.65,321.5,1.15,50.9
Parris Campbell,NYG,,,,40.10,24.85,263.2,1.45,47.5
Terrace Marshall,CAR,,,,39.45,22.10,283.8,1.35,47.5
Olamide Zaccheaus,PHI,,,,31.20,21.10,271.6,1.60,47.3
Richie James,KC,,,,30.45,22.00,241.9,1.60,44.8
Cedric Tillman,CLE,,,,32.85,21.45,254.8,1.40,44.6
Nick Westbrook-Ikhine,TEN,,,,31.05,17.85,245.9,1.65,43.4
Braxton Berrios,MIA,,,,29.75,23.10,223.2,1.35,42.0
Laviska Shenault,CAR,6.5,31.5,0.2,26.85,20.80,203.7,1.00,41.1
Puka Nacua,LA,,,,22.60,17.10,210.8,1.40,38.0
Jamal Agnew,JAC,,,,26.70,17.70,181.8,1.70,37.2
Cedrick Wilson,MIA,,,,27.20,18.75,212.8,1.05,37.0
Noah Brown,HOU,,,,27.70,17.40,216.2,1.10,36.9
Calvin Austin,PIT,1.0,4.5,0.1,28.30,19.85,204.6,0.90,36.5
Zach Pascal,ARI,,,,25.60,16.80,193.7,1.00,33.8
Sterling Shepard,NYG,,,,31.95,18.30,170.8,1.10,32.8
Quez Watkins,PHI,,,,22.60,14.95,181.8,1.05,32.0
Deonte Harty,BUF,,,,20.75,14.50,159.4,1.15,30.1
Kalif Raymond,DET,,,,19.45,15.20,172.3,0.85,29.9
Trenton Irwin,CIN,,,,19.55,11.70,161.0,1.30,29.8
Marquise Goodwin,CLE,,,,20.90,11.20,163.9,1.20,29.2
Randall Cobb,NYJ,,,,19.75,13.35,150.8,0.95,27.5
Isaiah McKenzie,IND,1.0,6.0,,23.05,13.90,134.2,1.00,27.0
Chris Moore,TEN,,,,20.30,12.95,145.2,0.95,26.7
Jalen Guyton,LAC,,,,18.20,9.60,156.1,0.80,25.2
Tyler Scott,CHI,1.5,5.0,0.1,21.70,12.95,152.7,0.45,25.2
Nelson Agholor,BAL,,,,12.70,10.30,133.5,1.00,24.5
Parker Washington,JAC,,,,19.70,11.90,135.6,0.80,24.3
Tre Tucker,LV,,,,15.55,10.85,116.2,1.05,23.3
Tre'Quan Smith,NO,,,,12.30,10.70,131.9,0.80,23.3
Dontayvion Wicks,GB,,,,19.65,10.90,130.6,0.75,23.0
David Moore,TB,,,,17.10,10.00,134.0,0.70,22.6
Dyami Brown,WAS,,,,18.85,9.60,135.1,0.70,22.5
KhaDarel Hodge,ATL,,,,17.00,10.10,136.4,0.60,22.3
Jalen Tolbert,DAL,,,,16.05,9.05,124.3,0.85,22.1
Samori Toure,GB,,,,18.70,8.90,127.3,0.70,21.4
Devin Duvernay,BAL,,,,15.60,10.20,103.0,0.90,20.8
Trent Sherfield,BUF,,,,14.05,9.05,110.8,0.70,19.8
Kendall Hinton,DEN,,,,18.20,8.10,102.5,0.80,19.1
Equanimeous St. Brown,CHI,,,,13.30,7.40,107.7,0.70,18.7
Charlie Jones,CIN,,,,13.30,8.30,99.2,0.55,17.4
Jalen Reagor,MIN,,,,12.70,7.70,91.7,0.70,17.2
Jalen Nailor,MIN,,,,12.45,8.55,96.2,0.55,17.2
Shi Smith,CAR,,,,12.90,7.90,98.7,0.50,16.8
Velus Jones,CHI,,,,8.85,5.40,77.0,1.05,16.7
James Washington,NO,,,,9.10,6.30,84.7,0.70,15.8
Trey Palmer,TB,,,,17.50,7.25,88.1,0.55,15.7
Ashton Dulin,IND,,,,11.55,6.80,95.1,0.40,15.3
Justin Watson,KC,,,,8.80,5.55,85.7,0.65,15.2
Erik Ezukanma,MIA,,,,9.85,7.40,79.5,0.55,15.0
DeAndre Carter,LV,,,,9.10,7.10,83.8,0.50,14.9
Penny Hart,ATL,,,,13.50,8.70,99.9,,14.3
Kayshon Boutte,NE,,,,12.25,6.70,82.2,0.40,14.0
